"N°","dc.contributor.author","dc.title","dc.date.issued","dc.publisher","dc.identifier.uri","dc.subject","thesis.degree.grantor","thesis.degress.name","renati.level","renati.type"
"1","Vásquez Saavedra, Watson","Uso del software del sistema integrado de economía y finanzas en los departamentos de contabilidad y tesorería de la dirección de economía en la Fuerza Aérea del Perú – Jesús María – 2015","2016","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/8257","Software del Sistema Integrado | Economía y Finanzas | Nivel de uso","Universidad César Vallejo. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"2","Chavez Tejada, Luis Fernando","El comercio informal de ropa y su repercusión en el pago de impuestos caso: alrededores del mercado central de la ciudad de Cajamarca periodo 2017","2017","Universidad Nacional de Cajamarca","http://hdl.handle.net/20.500.14074/995","informalidad | comercio | impuestos | ingresos | desempleo","Universidad Nacional de Cajamarca. Facultad de Ciencias económicas, Contables y Administrativas","","",""
"3","Murillo Martinez, Marcia Lorena","Choques de gigantes : impacto de China y EEUU en Latinoamérica","2018-09-19","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/12672","Industria del cobre--América Latina | América Latina--Relaciones económicas exteriores--Estados Unidos | Estados Unidos--Relaciones económicas exteriores--América Latina | América Latina--Relaciones económicas exteriores--China | China--Relaciones económicas exteriores--América Latina","Pontificia Universidad Católica del Perú. Facultad de Ciencias Sociales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"4","Montenegro Vela, Anghy Anavel | Santos Villanueva, Monica Daniela","Propuesta del sistema de economía circular en Lonya grande para mejorar el nivel de vida de los habitantes","2023","Universidad Señor de Sipán","https://hdl.handle.net/20.500.12802/10613","Impacto | Nivel de vida | Muestra | Economía Circular | Encuestas | Análisis empírico","Universidad Señor de Sipán. Facultad de Ingeniería, Arquitectura y Urbanismo","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"5","Kahn Bustos, Fernando David","Economía digital sostenible y su aplicación en la gestión pública en el marco de la Política Nacional de Transformación Digital al 2030","2024","Centro de Altos Estudios Nacionales - Escuela de Posgrado","https://hdl.handle.net/20.500.13097/580","Desarrollo | Tecnología | Economía digital | Transformación digital | Gestión Pública | Competitividad","Centro de Altos Estudios Nacionales - Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
"6","Quillahuamán Gutierrez, Rebeca","Estudio de caso práctico.","2017-04-21","Universidad Andina del Cusco","https://hdl.handle.net/20.500.12557/1656","Economía | Economía abierta | Mercado | Información-Mercado","Universidad Andina del Cusco. Facultad de Ciencias Económicas, Administrativas y Contables","","","https://purl.org/pe-repo/renati/type#trabajoAcademico"
"7","Pupuche Pérez, Stevens Smith","Rol de los factores externos en el crecimiento económico del Perú - un enfoque SVARX (1994-2018)","2019","Universidad San Ignacio de Loyola","https://hdl.handle.net/20.500.14005/9612","Crecimiento económico | Producto bruto interno (PBI) | Comportamiento económico","Universidad San Ignacio de Loyola. Facultad de Ciencias Empresariales. Carrera de Economía","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"8","Monsalve Fernandez, Emili Yulissa","Evaluación del impacto de los costos de producción en la economía de productores de papa en Conila-Cohechan, 2023","2025","Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas","https://hdl.handle.net/20.500.14077/4798","Costos de producción | Desarrollo económico | Eficiencia productiva","Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas. Facultad de Ciencias Económicas y Administrativas","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"9","Pineda Marcavillaca, Anabel Lucero","Estimación de la economía informal y análisis de su implicancia en el crecimiento económico del Perú: periodo 1996-2019","2023-12-21","Universidad Nacional del Altiplano. Repositorio Institucional - UNAP","https://repositorio.unap.edu.pe/handle/20.500.14082/20999","Crecimiento económico | Economía informal | Índice de Economía Informal | Informalidad","Universidad Nacional del Altiplano. Facultad de Ingeniería Económica","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"10","Márquez Sierra, Cristina Melchora","Uso de CMAP TOOL en el desarrollo de las competencias  de Historia, Geografía y Economía en los estudiantes de quinto de secundaria 2016","2017","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/5318","Competencias | Desarrollo | Tecnología | Instrumento | Enfoque","Universidad César Vallejo. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#doctor","https://purl.org/pe-repo/renati/type#tesis"
"11","Pacherres Flores, Jhenyfer Tatiana | Ttito Carbajal, Mishiel Mireya","Economía naranja y la transformación económica de la provincia de Cañete durante el año 2023","2023","Universidad César Vallejo","https://hdl.handle.net/20.500.12692/138341","Transformación económica | Economía naranja | Patrimonio cultural","Universidad César Vallejo. Facultad de Ciencias Empresariales","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"12","León Avila, Greisy Katterine | Rivera Gómez, Lesly","Insercion laboral y las competencias profesionales de los egresados de economía de la UNHEVAL, periodo 2010-2018","2019","Universidad Nacional Hermilio Valdizán","https://hdl.handle.net/20.500.13080/5345","Inserción Laboral | Competencias profesionales | Calidad","Universidad Nacional Hermilio Valdizán. Facultad de Economía","","https://purl.org/pe-repo/renati/level#tituloProfesional","https://purl.org/pe-repo/renati/type#tesis"
"13","Farfan Silva, Jerson David","Choques de incertidumbre en una economia pequeña y abierta en un contexto de metas de inflación: Perú 2002-2016, enfoque Var Bayesiano","2019-01-21","Pontificia Universidad Católica del Perú","http://hdl.handle.net/20.500.12404/13291","Inflación--Perú | Ciclos económicos--Perú | Macroeconomía--Perú | Perú--Condiciones económicas","Pontificia Universidad Católica del Perú. Escuela de Posgrado","","https://purl.org/pe-repo/renati/level#maestro","https://purl.org/pe-repo/renati/type#tesis"
